CodDependencia,Dependencia,Tipo de Inversión,CodBPIN,Nombre_proy_Ajustado,Comuna,NomComuna,Inversion,Año,Corte,Codigo Dependencia,Nombre Proyecto,Nombre Comuna
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,40344.0,PP DESACTIVACION DE LA AGRESION INTRAFAMILIAR,13.0,San Javier,"39,500,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40352.0,Diseño E Implementación De Una Estrategia De Desmovilizaión,13.0,San Javier,"652,749,424",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40198.0,Intervención Social En Las Cárceles,4.0,Aranjuez,"10,144,037",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40200.0,Trabajo Con Población Reincidente,4.0,Aranjuez,"3,481,005",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40201.0,Diseño E Implementación De La Unidad Permanente De Justicia Y Fortalecimiento De Las,4.0,Aranjuez,"396,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40198.0,Intervención Social En Las Cárceles,13.0,San Javier,"15,360,970",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,60031.0,PP CIUDADANIA DE LA NOCHE,7.0,Robledo,"10,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,60031.0,PP CIUDADANIA DE LA NOCHE,12.0,La América,"12,600,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40312.0,Manual De Convivencia,4.0,Aranjuez,"13,650,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40352.0,Diseño E Implementación De Una Estrategia De Desmovilizaión,2.0,Santa Cruz,"711,050,622",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,40344.0,PP DESACTIVACION DE LA AGRESION INTRAFAMILIAR,2.0,Santa Cruz,"53,195,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40341.0,Fortalecimiento Y Asistencia A Derechos Humanos,4.0,Aranjuez,"215,433,144",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,50083.0,Casa De Justicia,7.0,Robledo,"100,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50080.0,PP MANUAL DE CONVIVENCIA,7.0,Robledo,"87,555,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40049.0,Ciudadanía De La Noche,90.0,Santa Elena,"21,500,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40205.0,"Organización, Control Y Autocontrol De Venteros En El Espacio Público",10.0,La Candelaria,"90,910,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50084.0,"PP Apoyo a la modernizacion, fortalecimiento y transformacion de los organimos de",70.0,Altavista,"10,998,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40048.0,Guias Ciduadanos,13.0,San Javier,"130,175,304",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,40344.0,PP DESACTIVACION DE LA AGRESION INTRAFAMILIAR,70.0,Altavista,"20,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,40316.0,PP FORTALECIMIENTO DE LAS RELACIONES FAMILIARES,70.0,Altavista,"20,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50043.0,PP - APOYO AL FUNCIONAMIENTO CENTROS DE CONCILIACIÓN,9.0,Buenos Aires,"5,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40053.0,Plan Desarme,4.0,Aranjuez,"809,310",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50084.0,"PP Apoyo a la modernizacion, fortalecimiento y transformacion de los organimos de",10.0,La Candelaria,"114,000,000",2008.0,31-Dic-2008,,,
